product_id,n_obs,mae,rmse,mape,avg_sales,mae_pct
SE-DGB309-10341,177,1274.84,1441.97,803.77,11058.57,11.53
SE-DGB309-10342,188,734.14,764.55,477.2,7851.34,9.35
SE-DGB309-12121,94,13804.97,19584.32,25.45,36428.07,37.9
SE-DGB309-12122,94,5530.94,7642.81,168.19,20064.06,27.57
SE-DGB309-12123,95,7188.09,9214.07,56.53,17054.0,42.15
SE-DGB309-12124,95,9454.48,15546.69,25.4,26451.96,35.74
SE-DGB309-6096,191,170.76,205.13,68.86,8982.78,1.9
SE-FVL353-0648,222,35691.86,46543.84,181.36,95658.76,37.31
SE-FVL358-10122,207,3317.28,4139.41,70.62,38765.49,8.56
SE-FVL358-1944,223,678.48,1022.57,19.16,8667.13,7.83
SE-FVL359-2136,223,6672.11,10312.32,77.5,45241.42,14.75
SE-HYE400-0240,223,8986.06,11321.49,19.37,34554.56,26.01
SE-HYE402-1832,222,5460.98,8347.49,188.51,37907.99,14.41
SE-HYE402-1970,223,10573.76,14614.22,66.41,42482.31,24.89
SE-HYE402-4950,223,86141.54,137886.67,90.58,390980.2,22.03
SE-HYE403-10027,223,55917.31,81210.68,30.87,392756.3,14.24
SE-HYE403-11103,158,26958.92,31548.73,69.79,75926.19,35.51
SE-HYE403-11104,154,4781.3,7528.41,48.28,27671.61,17.28
SE-HYE403-1315,223,67454.07,78858.17,530.51,168549.99,40.02
SE-HYE403-1926,223,5850.31,10110.58,26.43,51865.01,11.28
SE-HYE403-1978,221,18541.09,29980.64,48.94,88518.27,20.95
SE-HYE403-1979,130,3227.29,3496.97,568.93,55858.7,5.78
SE-HYE403-1980,223,107456.73,194044.29,49.31,846315.53,12.7
SE-HYE403-4153,223,24503.85,33198.94,101.11,123173.08,19.89
SE-HYE449-0107,223,17536.17,20974.16,44.7,47995.25,36.54
SE-HYE449-10281,196,1309.99,1624.28,311.57,14877.27,8.81
SE-HYE449-10282,184,4266.77,4361.55,3197.58,15064.04,28.32
SE-HYE449-6877,223,3536.55,6019.87,32.5,27730.02,12.75
SE-PDM450-10026,134,83815.91,112940.8,24.64,126478.23,66.27
SE-PDM450-1798,223,17455.23,33941.06,58.33,148470.05,11.76
SE-PDM450-1799,220,22274.72,27132.57,51.61,164282.31,13.56
SE-PDM450-1909,222,151571.71,215234.38,177.35,707608.23,21.42
SE-PDM450-1910,223,158181.63,263901.15,73.93,627935.81,25.19
SE-PDM450-1912,223,14896.64,27196.1,46.02,120417.76,12.37
SE-PDM450-1913,223,79370.13,142154.7,47.92,440607.19,18.01
SE-PDM450-1914,223,10149.59,19315.19,35.07,70873.22,14.32
SE-PDM450-1915,223,7185.99,10524.46,104.49,33228.89,21.63
SE-PDM450-2038,223,2605.71,3142.17,122.73,11814.1,22.06
SE-PDM450-2902,81,64149.28,69681.3,246.29,162018.95,39.59
SE-PDM450-4086,223,5597.7,9884.04,57.45,45886.08,12.2
SE-PDM450-5475,221,1690.75,2005.45,56.04,26541.03,6.37
SE-PDM450-8666,223,2809.33,5260.73,25.47,28407.61,9.89
SE-PDM453-10346,198,10517.27,13753.69,231.26,41837.01,25.14
SE-PDM457-11392,143,5736.12,10028.09,59.75,27655.43,20.74
SE-PDM457-4671,223,6976.07,9603.12,110.57,73382.72,9.51
SE-SAL500-0864,223,5108.87,6824.97,25.71,48497.81,10.53
SE-SAL500-0882,223,1691.12,3221.89,44.51,24076.77,7.02
SE-SAL500-0885,223,1202.72,2017.73,22.92,15308.71,7.86
SE-SAL500-0887,223,27714.1,38584.09,66.85,179772.28,15.42
SE-SAL500-0895,152,680.62,853.4,1217.42,21588.53,3.15
SE-SAL500-0896,223,2768.03,3248.61,23.7,9374.16,29.53
SE-SAL500-0897,223,3238.98,5540.06,49.76,13359.02,24.25
SE-SAL500-0900,221,3801.65,4771.09,240.2,16695.02,22.77
SE-SAL500-0907,116,724.64,1078.59,465.8,44981.97,1.61
SE-SAL500-3033,221,6985.84,11492.78,48.77,67768.54,10.31
SE-SAL500-4231,181,41161.53,61263.3,88.11,104756.03,39.29
SE-SAL500-4748,222,5133.51,8738.81,86.28,18909.91,27.15
SE-SAL501-8723,199,5378.76,8060.46,93.3,11062.06,48.62
SE-SAL501-8724,201,895.9,968.46,135.07,11070.07,8.09
SE-SAL502-0787,222,5168.52,6133.11,26.97,36576.13,14.13
SE-SAL502-0788,223,212997.84,296563.23,103.59,733302.05,29.05
SE-SAL502-0793,223,1807.07,2026.65,26.17,10168.34,17.77
